Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.3886275887489319,0.8173499703407288,0.274323433637619,0.8877999782562256,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.158136785030365,0.9422249794006348,0.30696991086006165,0.8855000138282776,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.06051564961671829,0.981249988079071,0.42773568630218506,0.8736000061035156,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.020806612446904182,0.9948999881744385,0.5345023274421692,0.8748999834060669,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.009841104969382286,0.9975000023841858,0.5765387415885925,0.8716999888420105,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.005377881694585085,0.9988750219345093,0.6763966679573059,0.8733999729156494,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.004616200923919678,0.9989749789237976,0.720695972442627,0.8702999949455261,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.003759440965950489,0.9991000294685364,0.7548242211341858,0.8664000034332275,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.0038735561538487673,0.9988250136375427,0.8180922865867615,0.8691999912261963,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6b68e355e0>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f6b8111c6a0>,,0.0045723821967840195,0.9986500144004822,0.7909430861473083,0.8702999949455261,,,2021-10-31
