Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.3640744388103485,0.8387500047683716,0.290962278842926,0.8798999786376953,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.16147814691066742,0.9428250193595886,0.3261834979057312,0.8708999752998352,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.07606605440378189,0.974049985408783,0.3864249885082245,0.8654000163078308,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.051197174936532974,0.9832749962806702,0.47327086329460144,0.8637999892234802,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.04083717614412308,0.9860749840736389,0.5478916764259338,0.859000027179718,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.025466561317443848,0.9917500019073486,0.5738667249679565,0.864799976348877,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.01841731183230877,0.9941999912261963,0.6629581451416016,0.8629000186920166,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.017504407092928886,0.9944750070571899,0.658890426158905,0.8575999736785889,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.016878699883818626,0.9944750070571899,0.8051649332046509,0.8622000217437744,,,2021-10-31
<tensorflow.python.keras.engine.functional.Functional object at 0x7fe35819c280>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7fe357b26d60>,,0.00863257609307766,0.9974499940872192,0.8461334109306335,0.8633999824523926,,,2021-10-31
