Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.463779598,0.853483319,0.091789231,0.969099998,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.142123148,0.958866656,0.058715712,0.980400026,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.103447773,0.970099986,0.050506972,0.984399974,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.082589306,0.976183355,0.044291388,0.985099971,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.071527481,0.979466677,0.037348825,0.987900019,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.063038655,0.981866658,0.036260609,0.989000022,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.054168615,0.98451668,0.036193088,0.988499999,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.051864106,0.985483348,0.059399847,0.98089999,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.047014862,0.986199975,0.029728834,0.990499973,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.043152161,0.987066686,0.028893339,0.9903,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.039203737,0.988433361,0.030314419,0.9903,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.037235904,0.988633335,0.027869739,0.99089998,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.033463184,0.990050018,0.027338315,0.991900027,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.030916648,0.990683317,0.025445031,0.99180001,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.030494737,0.99088335,0.026699319,0.991400003,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.027900966,0.991566658,0.028548185,0.99119997,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.025111664,0.992283344,0.026949301,0.9921,,,2021-10-27-17:22:14
