Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.479857832,0.849566638,0.091536343,0.969099998,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.138298303,0.960883319,0.068784423,0.978100002,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.097594589,0.971383333,0.051398199,0.983200014,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.08065404,0.976783335,0.046233144,0.984899998,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.06791611,0.980533361,0.03531662,0.987900019,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.063225962,0.981949985,0.035469975,0.989099979,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.054729056,0.984483361,0.031074753,0.990100026,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.049475294,0.985383332,0.029850882,0.99000001,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.041990053,0.98756665,0.030629868,0.990800023,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.041284844,0.988250017,0.028916061,0.990499973,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.037014786,0.988950014,0.026837079,0.9921,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.03488186,0.989449978,0.030400125,0.99059999,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.03288015,0.990016639,0.026598994,0.99150002,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.031333204,0.990249991,0.027554525,0.991100013,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.028555954,0.991433322,0.027156271,0.992399991,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.027543431,0.991750002,0.026055181,0.992299974,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.02390659,0.992550015,0.024701908,0.993600011,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.024385938,0.992999971,0.024586797,0.993099988,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.021682316,0.993516684,0.023713294,0.992799997,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.020342497,0.993900001,0.031543139,0.991100013,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.021407891,0.993149996,0.026120121,0.992500007,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.018508926,0.994483352,0.02605325,0.992500007,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.018285407,0.994333327,0.026638938,0.992600024,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.01888489,0.993950009,0.024616128,0.992600024,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.015428648,0.995050013,0.027646039,0.991999984,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.017666198,0.994650006,0.023626089,0.993200004,,,2021-10-27-17:08:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f5f4e8d4a30>,1,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f5f4c818970>,,0.015684055,0.994983315,0.027697455,0.992900014,,,2021-10-27-17:08:47
