Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,1.9768452644348145,0.4083999991416931,1.8066861629486084,0.476500004529953,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,1.5743719339370728,0.5621749758720398,1.6238468885421753,0.536300003528595,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,1.353696346282959,0.6474499702453613,1.4466726779937744,0.6075000166893005,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,1.1764323711395264,0.714775025844574,1.4308613538742065,0.6313999891281128,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.9975476264953613,0.7847999930381775,1.4420156478881836,0.6299999952316284,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.8302021622657776,0.8488749861717224,1.46864914894104,0.6355999708175659,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.6633811593055725,0.9101750254631042,1.5282074213027954,0.6420000195503235,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.5246062278747559,0.9588750004768372,1.5487312078475952,0.6480000019073486,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.43313851952552795,0.9870749711990356,1.6922906637191772,0.6410999894142151,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3874533474445343,0.9971500039100647,1.6364957094192505,0.6615999937057495,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3692381978034973,0.9993500113487244,1.719542384147644,0.6575000286102295,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3623013198375702,0.9998499751091003,1.6550642251968384,0.6743999719619751,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3587180972099304,0.9999499917030334,1.6911780834197998,0.6718999743461609,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.35704711079597473,0.9999250173568726,1.6953210830688477,0.6751000285148621,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3549026846885681,0.9999499917030334,1.707663893699646,0.6761999726295471,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3535604774951935,1.0,1.7353699207305908,0.6754999756813049,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.35257115960121155,1.0,1.7524040937423706,0.6754000186920166,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3520563840866089,1.0,1.7621740102767944,0.671999990940094,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.35140085220336914,0.9999750256538391,1.781988501548767,0.6746000051498413,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.35041260719299316,1.0,1.7708333730697632,0.6776000261306763,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3498328626155853,1.0,1.7838597297668457,0.6772000193595886,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34918341040611267,1.0,1.790802001953125,0.6747999787330627,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3485652208328247,1.0,1.8030076026916504,0.6765000224113464,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3479435443878174,1.0,1.8128070831298828,0.6764000058174133,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34744375944137573,1.0,1.8236117362976074,0.6776999831199646,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3469338119029999,1.0,1.841678500175476,0.673799991607666,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3463396430015564,1.0,1.834321141242981,0.6762999892234802,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3459538519382477,0.9999750256538391,1.837780237197876,0.6758999824523926,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,28,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34545445442199707,1.0,1.8505085706710815,0.6758000254631042,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,29,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3451273441314697,0.9999499917030334,1.859076976776123,0.6754000186920166,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,30,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3445013463497162,1.0,1.8588252067565918,0.675599992275238,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,31,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34396490454673767,1.0,1.860624074935913,0.6741999983787537,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,32,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34345096349716187,1.0,1.8702279329299927,0.6740000247955322,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,33,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34290561079978943,1.0,1.8668662309646606,0.6747999787330627,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,34,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34241506457328796,1.0,1.873961091041565,0.6758000254631042,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,35,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3420371413230896,1.0,1.8769619464874268,0.6748999953269958,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,36,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3417011499404907,0.9999499917030334,1.8871122598648071,0.6759999990463257,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,37,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.34111666679382324,1.0,1.8879015445709229,0.6747000217437744,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,38,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3406490385532379,1.0,1.8892769813537598,0.6730999946594238,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,39,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3402031660079956,1.0,1.902846336364746,0.6739000082015991,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,40,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.33973267674446106,1.0,1.9020634889602661,0.6761999726295471,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fb2906c8e20>,tensorflow,hymenoptera,41,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fb2f4ada370>,,0.3393583595752716,1.0,1.9075191020965576,0.6753000020980835,,,2021-10-29
