Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,3.807370662689209,0.3271999955177307,3.4368016719818115,0.4140999913215637,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,3.2618775367736816,0.49102500081062317,3.0710346698760986,0.5680000185966492,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.9905810356140137,0.5815500020980835,2.872331380844116,0.6230999827384949,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.8028054237365723,0.6467499732971191,2.7336509227752686,0.6682999730110168,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.657432794570923,0.6973999738693237,2.6337766647338867,0.7024999856948853,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.5211005210876465,0.7453500032424927,2.5760931968688965,0.715499997138977,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.4082577228546143,0.77920001745224,2.6183855533599854,0.7124000191688538,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.2985761165618896,0.8151500225067139,2.5680909156799316,0.7281000018119812,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.198451519012451,0.848800003528595,2.5727739334106445,0.7307000160217285,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.1077542304992676,0.8779000043869019,2.6369595527648926,0.7182999849319458,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,2.013672351837158,0.9077249765396118,2.5942351818084717,0.7329999804496765,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.9404056072235107,0.9320999979972839,2.6260862350463867,0.7361999750137329,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.8733599185943604,0.9526249766349792,2.710010051727295,0.7190999984741211,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.8206382989883423,0.9671000242233276,2.653151273727417,0.7369999885559082,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.7865484952926636,0.975600004196167,2.601461172103882,0.754800021648407,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.7622507810592651,0.979075014591217,2.719484329223633,0.7383000254631042,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.7428407669067383,0.9818000197410583,2.7932465076446533,0.7311000227928162,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.7139971256256104,0.9882000088691711,2.701423168182373,0.7462000250816345,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.691429853439331,0.9929249882698059,2.65614914894104,0.7583000063896179,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.6746091842651367,0.9944999814033508,2.779103994369507,0.7379000186920166,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.65903902053833,0.9962999820709229,2.6106770038604736,0.7674000263214111,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.6465678215026855,0.9963750243186951,2.6472694873809814,0.7533000111579895,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.6331695318222046,0.997825026512146,2.6504111289978027,0.7634000182151794,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.6238354444503784,0.9972249865531921,2.5813069343566895,0.7717000246047974,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.608961582183838,0.9986500144004822,2.6520678997039795,0.7638999819755554,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5996215343475342,0.998324990272522,2.62834095954895,0.766700029373169,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.587533712387085,0.9988250136375427,2.6012165546417236,0.7651000022888184,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.576188564300537,0.9991999864578247,2.5591299533843994,0.7716000080108643,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,28,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5672918558120728,0.9987249970436096,2.5830752849578857,0.7734000086784363,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,29,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5571588277816772,0.9988999962806702,2.6157150268554688,0.7652999758720398,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,30,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5469564199447632,0.9989500045776367,2.658634662628174,0.7559000253677368,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,31,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5367956161499023,0.9992499947547913,2.549130439758301,0.7749999761581421,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,32,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5260181427001953,0.9996500015258789,2.527146577835083,0.775600016117096,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,33,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5158380270004272,0.9997000098228455,2.513662576675415,0.77920001745224,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,34,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.5061405897140503,0.9997249841690063,2.532823324203491,0.7730000019073486,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,35,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4963206052780151,0.9998000264167786,2.561068296432495,0.7724999785423279,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,36,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4869157075881958,0.9997749924659729,2.5094714164733887,0.7785000205039978,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,37,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4773093461990356,0.9998250007629395,2.509690999984741,0.7788000106811523,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,38,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4678252935409546,0.999875009059906,2.4930574893951416,0.7764999866485596,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,39,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4589868783950806,0.9997249841690063,2.4979453086853027,0.7754999995231628,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,40,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4499943256378174,0.9998250007629395,2.483511209487915,0.7764000296592712,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,41,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4414830207824707,0.9995750188827515,2.553252696990967,0.7674999833106995,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,42,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.432808518409729,0.9997249841690063,2.4919257164001465,0.7685999870300293,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f6ee5db9310>,tensorflow,hymenoptera,43,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f6ee623fc10>,,1.4234355688095093,0.9997249841690063,2.483912944793701,0.7735999822616577,,,2021-10-29
