Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3109,0.5341,0.9518,0.669,1636052313,0m 44s
1,0.8975,0.686,0.8082,0.717,1636052355,0m 42s
2,0.776,0.7267,0.7079,0.7532,1636052402,0m 47s
3,0.6934,0.7576,0.6676,0.7671,1636052448,0m 46s
4,0.6443,0.7738,0.6241,0.7834,1636052489,0m 41s
5,0.6002,0.7883,0.6086,0.7903,1636052531,0m 42s
6,0.5616,0.8019,0.5791,0.7997,1636052578,0m 48s
7,0.5237,0.8171,0.5608,0.8057,1636052625,0m 46s
8,0.51,0.8213,0.5589,0.8081,1636052671,0m 47s
9,0.5075,0.821,0.557,0.8069,1636052718,0m 46s
10,0.5034,0.8229,0.5528,0.8094,1636052763,0m 46s
11,0.4954,0.8241,0.5556,0.8089,1636052810,0m 47s
12,0.4939,0.8263,0.5487,0.8114,1636052859,0m 49s
13,0.4883,0.8281,0.5515,0.8083,1636052906,0m 47s
14,0.4852,0.8289,0.5477,0.8114,1636052951,0m 45s
15,0.4854,0.8299,0.5514,0.8108,1636052996,0m 45s
16,0.483,0.8305,0.5471,0.8107,1636053039,0m 43s
17,0.4828,0.8307,0.5487,0.8108,1636053084,0m 45s
18,0.4839,0.83,0.5544,0.8089,1636053135,0m 50s
19,0.4797,0.8322,0.5508,0.8101,1636053182,0m 47s
20,0.4786,0.8303,0.5477,0.8116,1636053229,0m 47s
21,0.4802,0.8308,0.5496,0.8104,1636053279,0m 51s
22,0.4798,0.8311,0.5485,0.8115,1636053326,0m 47s
23,0.4765,0.8326,0.5485,0.8107,1636053374,0m 48s
24,0.4806,0.8294,0.5478,0.8123,1636053416,0m 42s
25,0.4768,0.8319,0.5475,0.8108,1636053461,0m 46s
26,0.4795,0.8318,0.5482,0.8099,1636053508,0m 46s
27,0.4847,0.8303,0.5493,0.8117,1636053551,0m 43s
28,0.4765,0.8313,0.5463,0.8127,1636053596,0m 45s
29,0.4804,0.8311,0.5471,0.8127,1636053641,0m 46s
30,0.4794,0.8312,0.5475,0.8118,1636053688,0m 47s
31,0.4829,0.8298,0.5501,0.8107,1636053731,0m 44s
32,0.4815,0.8309,0.5481,0.8127,1636053772,0m 40s
33,0.4812,0.8313,0.55,0.8114,1636053817,0m 45s
34,0.4765,0.8325,0.5471,0.8123,1636053865,0m 48s
35,0.4786,0.8321,0.5475,0.8122,1636053912,0m 47s
36,0.482,0.8299,0.5487,0.8109,1636053959,0m 46s
37,0.4835,0.8305,0.5509,0.8091,1636054001,0m 43s
38,0.4805,0.8304,0.546,0.8121,1636054043,0m 42s
39,0.4806,0.8307,0.5476,0.8117,1636054088,0m 45s
40,0.4819,0.8301,0.547,0.8121,1636054132,0m 44s
41,0.4817,0.8306,0.5483,0.8121,1636054177,0m 46s
42,0.4798,0.8319,0.5489,0.8107,1636054222,0m 45s
43,0.4788,0.8312,0.5473,0.8126,1636054266,0m 44s
44,0.4803,0.8313,0.5466,0.8113,1636054312,0m 46s
45,0.4795,0.8317,0.5503,0.8099,1636054358,0m 45s
46,0.4827,0.8317,0.5479,0.8124,1636054404,0m 46s
47,0.4775,0.8309,0.5474,0.8121,1636054449,0m 46s
48,0.4796,0.8325,0.5467,0.8119,1636054489,0m 40s
49,0.4759,0.8333,0.5498,0.8112,1636054534,0m 45s
